y x1 x2 x3 x4 x5                                
11.43 29.35 2.87 2329.68  2.87 2.75                                             
12.07 23.32 4.41 1507.99  3.93 3.75                                             
13.17 23.80 4.43 2108.47  3.82 3.79                                             
 5.75 41.89 1.67  189.13  0.22 0.21                                             
12.88 42.19 0.83  728.47  4.56 4.60                                             
 8.79 31.72 2.85 2982.88  2.43 2.32                                             
 0.60 39.74 1.34  662.86  2.67 2.83                                             
11.90 44.75 0.67  289.52  6.51 6.53                                             
 4.98 46.64 1.06  276.65  3.08 3.19                                             
10.78 47.64 1.14  471.24  2.80 2.78                                             
16.85 24.42 3.93 2496.53  3.99 4.07                                             
 3.59 46.31 1.19  287.77  2.19 2.13                                             
11.24 27.84 2.37 1681.25  4.32 4.33                                             
12.64 25.06 4.70 2213.82  4.52 4.56                                             
12.55 23.31 3.35 2457.12  3.44 3.42                                             
10.67 25.62 3.10  870.85  6.28 6.29                                             
 3.01 46.05 0.87  289.71  1.48 1.61                                             
 7.70 47.32 0.58  232.44  3.19 3.23                                             
 1.27 34.03 3.08 1900.10  1.12 1.25                                             
 9.00 41.31 0.96   88.94  1.54 1.41                                             
11.34 31.16 4.19 1139.95  2.99 3.03                                             
14.28 24.52 3.48 1390.00  3.54 3.55                                             
21.10 27.01 1.91 1257.28  8.21 8.16                                             
 3.98 41.74 0.91  207.60  5.81 5.85                                             
10.35 21.80 3.73 2449.39  1.57 1.70                                             
15.48 32.54 2.47  601.05  8.12 8.01                                             
10.25 25.95 3.67 2231.03  3.62 3.75                                             
14.65 24.71 3.25 1740.70  7.66 7.63                                             
10.67 32.61 3.17 1487.52  1.76 1.81                                             
 7.30 45.04 1.21  325.54  2.48 2.57                                             
 4.44 43.56 1.20  568.56  3.61 3.78                                             
 2.02 41.18 1.05  220.56  1.03 1.13                                             
12.70 44.19 1.28  400.06  0.67 0.57                                             
12.78 46.26 1.12  152.01  2.00 2.08                                             
12.49 28.96 2.85  579.51  7.48 7.51                                             
11.14 31.94 2.28  651.11  2.19 2.08                                             
13.30 31.92 1.52  250.96  2.00 2.17                                             
11.77 27.74 2.87  768.79  4.35 4.39                                             
 6.86 21.44 4.54 3299.49  3.01 3.09                                             
14.13 23.49 3.73 2630.96  2.70 2.64                                             
 5.13 43.42 1.08  389.66  2.96 2.93                                             
 2.81 46.12 1.21  249.87  1.13 1.06                                             
 7.81 23.27 4.46 1813.93  2.01 3.01                                             
 7.56 29.81 3.43 4001.89  2.45 2.71                                             
 9.22 46.40 0.90  813.39  0.53 0.26                                             
18.56 45.25 0.56  138.33  5.14 5.88                                             
 7.72 41.12 1.73  380.47 10.23 8.39                                             
 9.24 28.13 2.72  766.54  1.88 2.07                                             
 8.89 43.69 2.07  123.50 16.71 14.21                                            
 4.71 47.20 0.66  243.60  5.08 6.15                                             

