Bird Nest WeightA WeightB
1 1 27.05 25.89
2 1 26.16 24.75
3 1 24.67 24.45
4 1 25.36 24.6
5 1 27.78 25.4
6 2 25.5 24.05
7 2 26.37 25.5
8 2 27.45 23.85
9 2 26.83 24.09
10 2 26.71 23.6
11 3 26.19 24.41
12 3 26.77 24.94
13 3 26.38 24.52
14 3 26.34 25.49
15 3 26.02 24.27
16 4 24.67 25.79
17 4 25.73 25.67
18 4 25.51 25.4
19 4 26.07 24.95
20 4 25.18 25.96
21 5 25.57 25.46
22 5 26.92 25.52
23 5 26.31 25.74
24 5 24.41 25.88
25 5 25.68 25.16
26 6 24.71 26.14
27 6 25.5 27.87
28 6 26.12 27.22
29 6 25.45 26.88
30 6 27.95 27.54
31 7 26.34 25.79
32 7 25.3 25.67
33 7 26.48 26.1
34 7 26.42 25.39
35 7 27.28 25.35
36 8 24.81 28.05
37 8 25.61 26.77
38 8 25.21 27.78
39 8 24.08 27.86
40 8 26.59 27.5
41 9 25.53 26.05
42 9 25.84 25.69
43 9 26.17 25.08
44 9 27.37 25.82
45 9 25.4 25.85
46 10 27.05 26.91
47 10 27.11 26.8
48 10 24.92 26.26
49 10 25.77 26.61
50 10 25.53 26.07
