Bird Female Adult Survive Length Alar Weight SkullLen Humerus Femur TibTars SkullWid Sternum
 1   0  1 1 154 241 24.5 31.2 0.687 0.668 1.022 0.587 0.830
 2   0  1 1 160 252 26.9 30.8 0.736 0.709 1.180 0.602 0.841
 3   0  1 1 155 243 26.9 30.6 0.733 0.704 1.151 0.602 0.846
 4   0  1 1 154 245 24.3 31.7 0.741 0.688 1.146 0.584 0.839
 5   0  1 1 156 247 24.1 31.5 0.715 0.706 1.129 0.575 0.821
 6   0  1 1 161 253 26.5 31.8 0.780 0.743 1.144 0.607 0.893
 7   0  1 1 157 251 24.6 31.1 0.741 0.736 1.153 0.610 0.862
 8   0  1 1 159 247 24.2 31.4 0.728 0.718 1.126 0.609 0.793
 9   0  1 1 158 247 23.6 29.8 0.703 0.673 1.079 0.602 0.820
10   0  1 1 158 252 26.2 32.0 0.749 0.739 1.153 0.614 0.857
11   0  1 1 160 252 26.2 32.0 0.741 0.723 1.129 0.624 0.892
12   0  1 1 162 253 24.8 32.3 0.766 0.752 1.134 0.633 0.923
13   0  1 1 161 243 25.4 31.8 0.721 0.722 1.126 0.597 0.891
14   0  1 1 160 250 23.7 29.8 0.730 0.703 1.103 0.590 0.820
15   0  1 1 159 247 25.7 31.4 0.729 0.717 1.141 0.592 0.927
16   0  1 1 158 253 25.7 31.9 0.743 0.699 1.150 0.600 0.860
17   0  1 1 159 247 26.5 31.6 0.733 0.714 1.155 0.611 0.923
18   0  1 1 166 253 26.7 32.5 0.767 0.765 1.230 0.600 0.878
19   0  1 1 159 247 23.9 31.4 0.752 0.723 1.113 0.602 0.825
20   0  1 1 160 248 24.7 31.3 0.752 0.737 1.176 0.603 0.803
21   0  1 1 161 252 28.0 31.8 0.770 0.731 1.190 0.590 0.885
22   0  1 1 163 251 27.9 31.9 0.769 0.745 1.168 0.622 0.860
23   0  1 1 156 242 25.9 32.0 0.723 0.711 1.116 0.609 0.886
24   0  1 1 165 251 25.7 32.2 0.751 0.742 1.161 0.613 0.865
25   0  1 1 160 247 26.6 32.4 0.728 0.707 1.108 0.590 0.836
26   0  1 1 158 244 23.2 31.6 0.730 0.713 1.142 0.585 0.888
27   0  1 1 160 242 25.7 31.6 0.709 0.705 1.124 0.620 0.788
28   0  1 1 157 245 26.3 32.2 0.741 0.726 1.143 0.595 0.850
29   0  1 1 159 244 24.3 31.5 0.723 0.698 1.107 0.615 0.847
30   0  1 1 160 253 26.7 32.1 0.739 0.714 1.117 0.592 0.864
31   0  1 1 158 245 24.9 31.4 0.726 0.703 1.119 0.580 0.854
32   0  1 1 161 247 23.8 31.4 0.735 0.694 1.101 0.602 0.789
33   0  1 1 160 247 24.6 32.3 0.756 0.745 1.135 0.607 0.905
34   0  1 1 160 247 27.0 32.0 0.755 0.736 1.174 0.631 0.873
35   0  1 1 153 241 24.7 32.2 0.728 0.680 1.092 0.592 0.884
36   0  0 1 156 246 24.6 32.0 0.741 0.735 1.167 0.592 0.849
37   0  0 1 156 245 25.5 32.1 0.761 0.717 1.147 0.620 0.816
38   0  0 1 163 248 24.8 32.2 0.742 0.733 1.165 0.606 0.854
39   0  0 1 163 248 26.3 33.0 0.736 0.704 1.148 0.609 0.839
40   0  0 1 160 250 24.4 31.5 0.746 0.715 1.173 0.604 0.893
41   0  0 1 156 237 23.3 30.6 0.692 0.664 1.011 0.588 0.774
42   0  0 1 162 253 26.7 32.0 0.759 0.734 1.197 0.630 0.878
43   0  0 1 163 254 26.4 32.0 0.766 0.750 1.165 0.605 0.886
44   0  0 1 164 251 26.9 32.0 0.755 0.742 1.171 0.620 0.886
45   0  0 1 163 244 24.3 31.3 0.718 0.680 1.082 0.610 0.892
46   0  0 1 160 247 27.0 31.5 0.764 0.732 1.177 0.617 0.846
47   0  0 1 160 250 26.8 32.5 0.764 0.729 1.123 0.635 0.842
48   0  0 1 158 247 24.9 32.4 0.745 0.724 1.139 0.588 0.865
49   0  0 1 158 249 26.1 32.2 0.742 0.736 1.148 0.602 0.817
50   0  0 1 158 243 26.6 32.4 0.747 0.711 1.163 0.612 0.891
51   0  0 1 155 237 23.3 30.2 0.685 0.653 1.011 0.587 0.794
52   1 NA 1 156 245 25.3 31.6 0.729 0.710 1.152 0.620 0.809
53   1 NA 1 154 240 22.6 30.4 0.705 0.686 1.103 0.584 0.770
54   1 NA 1 153 240 25.1 31.0 0.724 0.713 1.123 0.585 0.812
55   1 NA 1 153 236 23.2 30.9 0.698 0.678 1.132 0.596 0.795
56   1 NA 1 155 243 24.4 31.5 0.734 0.736 1.170 0.596 0.801
57   1 NA 1 163 247 25.1 32.0 0.748 0.734 1.166 0.602 0.821
58   1 NA 1 157 238 24.6 30.9 0.726 0.727 1.175 0.588 0.797
59   1 NA 1 155 239 24.0 32.8 0.732 0.742 1.175 0.601 0.835
60   1 NA 1 164 248 24.2 32.7 0.752 0.752 1.201 0.604 0.830
61   1 NA 1 158 238 24.9 31.0 0.741 0.689 1.091 0.592 0.866
62   1 NA 1 158 240 24.1 31.3 0.733 0.706 1.107 0.591 0.867
63   1 NA 1 160 244 24.0 31.1 0.731 0.730 1.152 0.589 0.808
64   1 NA 1 161 246 26.0 32.3 0.758 0.732 1.154 0.623 0.859
65   1 NA 1 157 245 24.9 32.0 0.752 0.740 1.186 0.593 0.787
66   1 NA 1 157 235 25.5 31.5 0.712 0.704 1.132 0.611 0.781
67   1 NA 1 156 237 23.4 30.9 0.708 0.691 1.123 0.613 0.798
68   1 NA 1 158 244 25.9 31.4 0.729 0.705 1.146 0.597 0.851
